'ID'	'NAME'	'SHORT_NAME'	'FAMILY'	'BEGIN_DATE'	'BEGIN_TIME'	'END_DATE'	'END_TIME'	'SHIFT'	'REASON'	'SHOW_ORDER'	'VALIDITY'
'1'	'{"ja":"遅刻", "en":"late"}'	'{"ja":"遅刻", "en":"late"}'	'1'	'1'	'1'	'0'	'0'	'TRUE'	'TRUE'	'1'	'1'
'2'	'{"ja":"早退", "en":"early "}'	'{"ja":"早退", "en":"early "}'	'1'	'1'	'1'	'0'	'0'	'TRUE'	'TRUE'	'2'	'1'
'3'	'{"ja":"外出", "en":"out"}'	'{"ja":"外出", "en":"out"}'	'1'	'1'	'1'	'0'	'1'	'TRUE'	'TRUE'	'3'	'1'
'4'	'{"ja":"早出残業", "en":"overtime(early)"}'	'{"ja":"早残", "en":"ot(e)"}'	'2'	'1'	'1'	'0'	'1'	'TRUE'	'TRUE'	'4'	'1'
'5'	'{"ja":"残業", "en":"overtime"}'	'{"ja":"残業", "en":"ot"}'	'2'	'1'	'1'	'0'	'1'	'TRUE'	'TRUE'	'5'	'1'
'6'	'{"ja":"休日出勤", "en":"work on a day off"}'	'{"ja":"休出", "en":"wk on do"}'	'2'	'1'	'2'	'0'	'2'	'TRUE'	'TRUE'	'6'	'1'
'7'	'{"ja":"振替出勤", "en":"substitute work"}'	'{"ja":"振出", "en":"sub. wk"}'	'2'	'1'	'2'	'0'	'2'	'TRUE'	'TRUE'	'7'	'1'
'8'	'{"ja":"有休", "en":"paid holiday "}'	'{"ja":"有休", "en":"paid do"}'	'2'	'1'	'0'	'2'	'0'	'TRUE'	'FALSE'	'8'	'1'
'9'	'{"ja":"代休", "en":"compensatory day off"}'	'{"ja":"代休", "en":"comp. do"}'	'2'	'1'	'0'	'2'	'0'	'TRUE'	'TRUE'	'9'	'1'
'10'	'{"ja":"振替休日", "en":"day off in lieu"}'	'{"ja":"振休", "en":"do in lieu"}'	'2'	'1'	'0'	'2'	'0'	'TRUE'	'TRUE'	'10'	'1'
'11'	'{"ja":"欠勤", "en":"absence"}'	'{"ja":"欠勤", "en":"absence"}'	'1'	'1'	'0'	'2'	'0'	'TRUE'	'TRUE'	'11'	'1'
'12'	'{"ja":"特別休日", "en":"special day off"}'	'{"ja":"特休", "en":"special do"}'	'2'	'1'	'0'	'2'	'0'	'FALSE'	'FALSE'	'12'	'1'
