'ID'	'CODE'	'NAME'	'UPPER_ORGANIZATION_ID'	'HIERARCHY'	'SHOW_ORDER'	'VALIDITY'
'1'	'1000'	'{"ja":"A事業部", "en":"Dept.A"}'		'0'	'1'	'1'
'2'	'1100'	'{"ja":"第１製造部", "en":"Div.1"}'	'1'	'1'	'1'	'1'
'3'	'1110'	'{"ja":"製造１課", "en":"Sect.1"}'	'2'	'2'	'1'	'1'
'4'	'1111'	'{"ja":"１班", "en":"Group1"}'	'3'	'3'	'1'	'1'
'5'	'1112'	'{"ja":"２班", "en":"Group2"}'	'3'	'3'	'2'	'1'
'6'	'1120'	'{"ja":"設備課", "en":"sect.2"}'	'2'	'2'	'2'	'1'
'7'	'1121'	'{"ja":"１班", "en":"1"}'	'6'	'3'	'1'	'1'
'8'	'1122'	'{"ja":"２班", "en":"2"}'	'6'	'3'	'2'	'1'
'9'	'2000'	'{"ja":"B事業部", "en":"DeptB"}'		'0'	'2'	'1'
'10'	'2100'	'{"ja":"生産部", "en":"Div.1"}'	'9'	'1'	'1'	'1'
'11'	'2110'	'{"ja":"部品課", "en":"Sect.1"}'	'10'	'2'	'1'	'1'
'12'	'2111'	'{"ja":"表面処理", "en":"surface"}'	'11'	'3'	'1'	'1'
